基准测试,运行1时间(s)
q01.benchmark,6.756715
q02.benchmark,6.040534
q03.benchmark,9.231798
q04.benchmark,9.597661
q05.benchmark,8.709126
q06.benchmark,14.875222
q07.benchmark,9.427406
q08.benchmark,5.838311
q09.benchmark,15.767517
q10.benchmark,17.206131
q11.benchmark,9.705007
q12.benchmark,9.340654
q13.benchmark,12.063004
q14.benchmark,16.741211
q15.benchmark,15.651642
q16.benchmark,12.110086
q17.benchmark,19.556765
q18.benchmark,16.058539
q19.benchmark,37.000104
q20.benchmark,60.492741
q21.benchmark,12.410252
q22.benchmark,13.414562
q23.benchmark,17.367481
q24.benchmark,118.239985
q25.benchmark,11.049821
q26.benchmark,10.848098
q27.benchmark,10.395859
q28.benchmark,13.955817
q29.benchmark,156.594763
q30.benchmark,8.341072
q31.benchmark,14.92558
q32.benchmark,15.889191
q33.benchmark,48.28977
q34.benchmark,36.700977
q35.benchmark,34.657199
q36.benchmark,19.70051
q37.benchmark,13.621804
q38.benchmark,13.910702
q39.benchmark,13.953182
q40.benchmark,16.301299
q41.benchmark,10.188114
q42.benchmark,9.724652
q43.benchmark,9.757857
